School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Lee's Summit,3.41,3.64,7.05,2,1,1
Rockwood Summit,3.47,3.29,6.76,1,2,2
Ft. Zumwalt South,3.26,2.78,6.03,3,12,3
Rockhurst,2.79,3.15,5.94,5,4,4
John Burroughs,2.77,3.09,5.85,6,5,5
De Smet Jesuit,2.56,3.26,5.82,8,3,6
Kirkwood,2.68,2.73,5.4,7,15,7
Lindbergh,2.36,2.85,5.21,9,10,8
Priory,2.0,3.08,5.08,15,6,9
Chaminade College Prep,2.22,2.82,5.04,10,11,10
Francis Howell,1.97,2.88,4.85,16,9,11
SLUH,1.6,3.04,4.65,34,7,12
Webster Groves,1.78,2.74,4.52,23,13,13
Marquette,1.78,2.73,4.51,24,14,14
Lee's Summit West,1.47,2.95,4.42,40,8,15
Guadalupe Centers Charter,2.93,1.45,4.38,4,51,16
Lafayette (Wildwood),1.88,2.48,4.37,18,21,17
Christian Brothers College,1.54,2.71,4.25,36,16,18
Eureka,1.55,2.62,4.17,35,17,19
MICDS,1.83,2.23,4.06,19,23,20
Holt,1.8,2.17,3.97,20,28,21
Parkway South,2.08,1.8,3.88,13,40,22
Liberty,1.3,2.56,3.87,47,18,23
Lee's Summit North,1.71,2.11,3.82,28,31,24
Park Hill South,1.71,2.11,3.82,29,32,25
Raymore-Peculiar,2.02,1.73,3.75,14,42,26
Ladue Horton Watkins,1.25,2.49,3.74,49,20,27
Northwest (Cedar Hill),2.17,1.41,3.59,11,52,28
Vianney,1.47,2.12,3.59,39,30,29
Rock Bridge,1.7,1.88,3.58,31,37,30
Notre Dame (Cape Girardeau),1.36,2.21,3.57,46,24,31
Mehlville,1.4,2.15,3.55,44,29,32
Francis Howell Central,1.29,2.18,3.47,48,26,33
Van Horn,1.53,1.91,3.44,37,36,34
Timberland,1.75,1.65,3.4,25,45,35
Parkway Central,1.22,2.17,3.39,50,27,36
Park Hill,0.83,2.53,3.36,67,19,37
Blue Springs,1.13,2.2,3.33,53,25,38
Ozark,1.47,1.85,3.31,41,39,39
Clayton,0.86,2.42,3.28,66,22,40
Jackson,1.66,1.56,3.22,32,48,41
Blue Springs South,1.9,1.28,3.18,17,56,42
Jefferson City,1.08,2.09,3.17,59,33,43
Ft. Zumwalt West,1.52,1.64,3.16,38,46,44
Ft. Zumwalt North,1.12,2.0,3.12,55,34,45
Westminster Christian Academy,1.43,1.61,3.04,42,47,46
St. Dominic,1.16,1.86,3.03,52,38,47
Pattonville,1.19,1.78,2.97,51,41,48
