School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Rockwood Summit,3.47,3.29,6.76,1,1,1
Ft. Zumwalt South,3.26,2.78,6.03,2,2,2
Webster Groves,1.78,2.74,4.52,4,3,3
MICDS,1.83,2.23,4.06,3,6,4
Ladue Horton Watkins,1.25,2.49,3.74,9,4,5
Van Horn,1.53,1.91,3.44,6,9,6
Parkway Central,1.22,2.17,3.39,10,7,7
Clayton,0.86,2.42,3.28,14,5,8
Westminster Christian Academy,1.43,1.61,3.04,7,12,9
St. Dominic,1.16,1.86,3.03,11,10,10
Liberty (Wentzville),0.86,1.95,2.81,13,8,11
Platte County,1.41,1.03,2.44,8,16,12
East (Kansas City),1.71,0.66,2.37,5,21,13
Grain Valley,0.79,1.45,2.24,15,13,14
Central (Cape Girardeau),0.52,1.72,2.24,20,11,15
Glendale,0.76,1.01,1.77,16,17,16
Ft. Zumwalt East,0.54,1.08,1.62,19,15,17
Rolla,0.5,0.79,1.29,21,20,18
Belton,0.26,0.88,1.14,25,18,19
North County,0.6,0.51,1.11,18,23,20
Hillsboro,0.49,0.56,1.05,22,22,21
Smithville,-0.22,1.11,0.89,29,14,22
Raytown South,0.66,0.2,0.86,17,30,23
Kearney,0.31,0.48,0.8,24,24,24
St. Charles,0.37,0.26,0.62,23,28,25
Parkway North,-0.29,0.8,0.51,33,19,26
Gateway,0.95,-0.55,0.39,12,40,27
Lincoln College Prep,0.17,-0.0,0.17,26,34,28
Washington,-0.26,0.41,0.16,32,25,29
Harrisonville,-0.24,0.36,0.12,31,26,30
Pacific,-0.19,0.28,0.09,28,27,31
William Chrisman,-0.12,0.14,0.01,27,31,32
Helias Catholic,-0.24,0.22,-0.02,30,29,33
Grandview,-0.44,0.08,-0.37,34,33,34
Excelsior Springs,-0.53,-0.02,-0.55,36,35,35
Farmington,-0.59,-0.31,-0.9,37,38,36
Union,-1.29,0.12,-1.18,46,32,37
Hannibal,-1.2,-0.04,-1.24,44,36,38
Webb City,-1.14,-0.24,-1.38,41,37,39
Windsor (Imperial),-1.14,-0.4,-1.54,40,39,40
Festus,-0.48,-1.19,-1.67,35,46,41
Affton,-0.7,-1.22,-1.92,38,47,42
Lebanon,-1.43,-0.63,-2.05,47,41,43
McDonald County,-1.14,-1.1,-2.24,42,45,44
Bolivar,-1.85,-0.8,-2.65,53,43,45
DeSoto,-1.88,-0.78,-2.66,54,42,46
Camdenton,-1.48,-1.24,-2.71,51,48,47
Marshfield,-2.25,-0.84,-3.08,58,44,48
West Plains,-1.92,-1.3,-3.22,55,49,49
Capital City,-1.19,-2.33,-3.52,43,54,50
Warrensburg,-1.45,-2.08,-3.53,50,52,51
Ruskin,-1.22,-2.34,-3.55,45,55,52
Warrenton,-1.44,-2.18,-3.62,49,53,53
Willard,-1.59,-2.07,-3.66,52,51,54
McCluer,-1.12,-2.71,-3.84,39,57,55
Parkview,-1.43,-2.44,-3.87,48,56,56
Carl Junction,-2.56,-1.63,-4.19,59,50,57
Winnetonka,-2.04,-2.72,-4.76,57,58,58
Sikeston,-1.95,-3.33,-5.28,56,60,59
Hillcrest,-2.85,-3.24,-6.09,60,59,60
Hazelwood East,-3.04,-3.76,-6.8,61,61,61
Lafayette (St. Joseph),-3.58,-4.04,-7.61,62,62,62
