Date,Home Team,Home Score,Away Team,Away Score
2019-08-10,Kirkwood,3,Pattonville,0
2019-08-27,William Chrisman,3,Winnetonka,1
2019-08-28,Savannah,1,Winnetonka,0
2019-08-29,Ruskin,5,Winnetonka,3
2019-08-30,St. Michael the Archangel,3,Barstow,0
2019-08-30,Webb City,1,Carl Junction,0
2019-08-30,Fair Grove,0,Carl Junction,1
2019-08-30,Jefferson City,0,Christian Brothers College,2
2019-08-30,Gateway Science Charter,3,Collegiate School of Med-Bio Science,1
2019-08-30,Lebanon,5,Dixon,3
2019-08-30,Duchesne,0,Ft. Zumwalt North,1
2019-08-30,Frontier STEM,1,Grain Valley,7
2019-08-30,Liberty North,2,Harrisonville,2
2019-08-30,Nixa,1,Hickman,2
2019-08-30,Aurora,0,Joplin,8
2019-08-30,Hickman,2,Kickapoo,4
2019-08-30,Rock Bridge,6,Kickapoo,3
2019-08-30,Timberland,3,Mehlville,3
2019-08-30,Savannah,4,Oak Grove,0
2019-08-30,Willard,3,Osage,0
2019-08-30,Marquette,2,Parkway South,3
2019-08-30,Westminster Christian Academy,2,Principia,0
2019-08-30,Waynesville,1,Republic,3
2019-08-30,Park Hill South,0,Rockhurst,2
2019-08-30,Glendale,1,SLUH,3
2019-08-30,Lee's Summit,8,St. Charles,0
2019-08-30,Lebanon,4,West Plains,1
2019-08-30,Canton,0,Winfield,3
2019-08-31,Van Horn,0,Blue Springs,3
2019-08-31,Pleasant Hill,0,Blue Springs South,8
2019-08-31,Southern Boone,8,Capital City,1
2019-08-31,West Plains,3,Carl Junction,2
2019-08-31,Perryville,3,Central (Cape Girardeau),1
2019-08-31,Jefferson City,0,Christian Brothers College,2
2019-08-31,Fair Grove,3,Dixon,4
2019-08-31,Parkway West,8,Farmington,0
2019-08-31,Battle,1,Fulton,0
2019-08-31,Webster Groves,4,Glendale,1
2019-08-31,Rock Bridge,6,Kickapoo,3
2019-08-31,Hickman,2,Kickapoo,4
2019-08-31,Staley,1,Lee's Summit North,1
2019-08-31,Park Hill,0,Liberty,1
2019-08-31,Rock Bridge,3,Nixa,1
2019-08-31,St. Michael the Archangel,1,North Kansas City,3
2019-08-31,Willard,3,Oak Grove,1
2019-08-31,Osage,3,Oak Grove,4
2019-08-31,Savannah,4,Osage,0
2019-08-31,St. Charles,0,Raytown South,1
2019-08-31,Willard,0,Savannah,2
2019-08-31,Missouri Military Academy,2,St. Paul Lutheran (Concordia),3
2019-08-31,Fair Grove,0,Webb City,1
2019-08-31,Lebanon,2,Webb City,1
2019-08-31,Dixon,3,West Plains,8
2019-09-02,Bishop LeBlond,0,Central (St. Joseph),3
2019-09-02,Cameron,0,Maryville,13
2019-09-02,Pleasant Hill,2,St. Charles,5
2019-09-02,St. Michael the Archangel,0,Van Horn,4
2019-09-03,Northwest (Cedar Hill),8,Affton,0
2019-09-03,Cassville,0,Aurora,1
2019-09-03,Lutheran (Kansas City),0,Barstow,5
2019-09-03,Father Tolton,3,Battle,1
2019-09-03,Lafayette (St. Joseph),0,Benton,8
2019-09-03,Valley Park,2,Bishop DuBourg,5
2019-09-03,North Kansas City,1,Blue Springs,2
2019-09-03,Raytown South,1,Blue Springs South,5
2019-09-03,Chillicothe,6,Cameron,1
2019-09-03,Branson,3,Carthage,2
2019-09-03,Thomas Jefferson Independent Day,5,Cassville,1
2019-09-03,Cristo Rey,4,Center,5
2019-09-03,Logan-Rogersville,2,Central (Springfield),1
2019-09-03,Bishop LeBlond,0,Central (St. Joseph),3
2019-09-03,Oak Grove,0,Clinton,4
2019-09-03,Knob Noster,1,Cole Camp,3
2019-09-03,Laquey,7,Dixon,1
2019-09-03,Fulton,0,Fatima,3
2019-09-03,Windsor (Imperial),3,Fox,5
2019-09-03,Oakville,0,Francis Howell,4
2019-09-03,Warrenton,0,Francis Howell Central,8
2019-09-03,Duchesne,0,Ft. Zumwalt North,1
2019-09-03,St. Charles,0,Ft. Zumwalt South,7
2019-09-03,Missouri Military Academy,0,Ft. Zumwalt West,5
2019-09-03,Carnahan,1,Gateway,9
2019-09-03,Fort Osage,2,Grandview,1
2019-09-03,West Plains,0,Greenwood,2
2019-09-03,St. Pius X (Kansas City),2,Guadalupe Centers Charter,3
2019-09-03,Grain Valley,5,Harrisonville,3
2019-09-03,Parkway North,2,Hazelwood West,0
2019-09-03,Carl Junction,1,Joplin,2
2019-09-03,Parkway West,2,Kirkwood,6
2019-09-03,Parkway Central,1,Ladue Horton Watkins,2
2019-09-03,Liberty (Wentzville),0,Lafayette (Wildwood),5
2019-09-03,East (Kansas City),1,Liberty,4
2019-09-03,Frontier STEM,1,Liberty North,8
2019-09-03,Savannah,0,Lincoln College Prep,6
2019-09-03,Sacred Heart,4,Lone Jack,2
2019-09-03,Ft. Zumwalt East,5,Lutheran St. Charles,0
2019-09-03,St. Pius X (Festus),6,Maplewood-Richmond Hts.,0
2019-09-03,Moberly,0,Marshall,8
2019-09-03,Camdenton,2,Marshfield,1
2019-09-03,Platte County,0,Maryville,4
2019-09-03,Collegiate School of Med-Bio Science,2,Metro,7
2019-09-03,Parkview,1,Monett,4
2019-09-03,Seckman,3,North County,2
2019-09-03,Platte County,5,Northeast (Kansas City),3
2019-09-03,Perryville,6,Pacific,0
2019-09-03,Lee's Summit West,0,Park Hill South,1
2019-09-03,Oak Park,3,Raytown,2
2019-09-03,Ozark,1,Republic,0
